Deumeu {'ratio': 2.11, 'most_spent': 4500.0, 'biggest_cut': 1339.0, 'avg_deduct': 'TBA'}
Revenge {'ratio': 6.17, 'most_spent': 14999.0, 'biggest_cut': 1634.0, 'avg_deduct': 'TBA'}
Supmaria {'ratio': 8.24, 'most_spent': 15500.0, 'biggest_cut': 1070.0, 'avg_deduct': 'TBA'}
Minithai {'ratio': 42.79, 'most_spent': 33420.0, 'biggest_cut': 496.0, 'avg_deduct': 'TBA'}
Fullback {'ratio': 0, 'most_spent': 0, 'biggest_cut': 4638.0, 'avg_deduct': 'TBA'}
Rimela {'ratio': 0.38, 'most_spent': 1200.0, 'biggest_cut': 3186.0, 'avg_deduct': 'TBA'}
Letmehealyou {'ratio': 0.4, 'most_spent': 5500.0, 'biggest_cut': 7193.0, 'avg_deduct': 'TBA'}
Atrew {'ratio': 0, 'most_spent': 0, 'biggest_cut': 5009.0, 'avg_deduct': 'TBA'}
Uncleducki {'ratio': 0.82, 'most_spent': 6800.0, 'biggest_cut': 6442.0, 'avg_deduct': 'TBA'}
Nevve {'ratio': 0, 'most_spent': 0, 'biggest_cut': 2905.0, 'avg_deduct': 'TBA'}
Wtsrend {'ratio': 0, 'most_spent': 0, 'biggest_cut': 3206.0, 'avg_deduct': 'TBA'}
Dougle {'ratio': 0, 'most_spent': 0, 'biggest_cut': 1734.0, 'avg_deduct': 'TBA'}
Lahierbas {'ratio': 1.17, 'most_spent': 8500.0, 'biggest_cut': 4522.0, 'avg_deduct': 'TBA'}
Stromy {'ratio': 0.69, 'most_spent': 10000.0, 'biggest_cut': 5692.0, 'avg_deduct': 'TBA'}
Phemme {'ratio': 3.69, 'most_spent': 11500.0, 'biggest_cut': 1756.0, 'avg_deduct': 'TBA'}
Ashanie {'ratio': 0, 'most_spent': 0, 'biggest_cut': 3820.0, 'avg_deduct': 'TBA'}
Kankanx {'ratio': 0, 'most_spent': 0, 'biggest_cut': 5676.0, 'avg_deduct': 'TBA'}
Oillordx {'ratio': 0, 'most_spent': 0, 'biggest_cut': 5477.0, 'avg_deduct': 'TBA'}
Aerokdelcycl {'ratio': 0, 'most_spent': 0, 'biggest_cut': 5044.0, 'avg_deduct': 'TBA'}
Vanka {'ratio': 0, 'most_spent': 0, 'biggest_cut': 4116.0, 'avg_deduct': 'TBA'}
Pvemom {'ratio': 1.05, 'most_spent': 10000.0, 'biggest_cut': 5894.0, 'avg_deduct': 'TBA'}
Canttwo {'ratio': 0, 'most_spent': 0, 'biggest_cut': 4064.0, 'avg_deduct': 'TBA'}
Ize {'ratio': 0, 'most_spent': 0, 'biggest_cut': 3733.0, 'avg_deduct': 'TBA'}
Thunderfurý {'ratio': 0, 'most_spent': 0, 'biggest_cut': 3954.0, 'avg_deduct': 'TBA'}
Xuck {'ratio': 0, 'most_spent': 0, 'biggest_cut': 3582.0, 'avg_deduct': 'TBA'}
Rekerina {'ratio': 1.15, 'most_spent': 11000.0, 'biggest_cut': 5468.0, 'avg_deduct': 'TBA'}
Drenched {'ratio': 0, 'most_spent': 0, 'biggest_cut': 5489.0, 'avg_deduct': 'TBA'}
Shibo {'ratio': 0, 'most_spent': 0, 'biggest_cut': 4633.0, 'avg_deduct': 'TBA'}
Jimmy {'ratio': 5.21, 'most_spent': 20000.0, 'biggest_cut': 3168.0, 'avg_deduct': 'TBA'}
Pumpmage {'ratio': 1.48, 'most_spent': 8500.0, 'biggest_cut': 5058.0, 'avg_deduct': 'TBA'}
Mechatroll {'ratio': 7.13, 'most_spent': 32000.0, 'biggest_cut': 3898.0, 'avg_deduct': 'TBA'}
Darkplace {'ratio': 0, 'most_spent': 0, 'biggest_cut': 3667.0, 'avg_deduct': 'TBA'}
Rívench {'ratio': 0, 'most_spent': 0, 'biggest_cut': 2771.0, 'avg_deduct': 'TBA'}
Mystra {'ratio': 7.6, 'most_spent': 26500.0, 'biggest_cut': 2333.0, 'avg_deduct': 'TBA'}
Velasquez {'ratio': 0, 'most_spent': 0, 'biggest_cut': 3056.0, 'avg_deduct': 'TBA'}
Zester {'ratio': 1.85, 'most_spent': 12000.0, 'biggest_cut': 4783.0, 'avg_deduct': 'TBA'}
Chinesename {'ratio': 0, 'most_spent': 0, 'biggest_cut': 8226.0, 'avg_deduct': 'TBA'}
Destinations {'ratio': 0, 'most_spent': 0, 'biggest_cut': 5044.0, 'avg_deduct': 'TBA'}
Jakej {'ratio': 0, 'most_spent': 0, 'biggest_cut': 5270.0, 'avg_deduct': 'TBA'}
Gdkpgeci {'ratio': 0, 'most_spent': 0, 'biggest_cut': 5304.0, 'avg_deduct': 'TBA'}
Anestezi {'ratio': 1.23, 'most_spent': 19000.0, 'biggest_cut': 6909.0, 'avg_deduct': 'TBA'}
Priestli {'ratio': 1.27, 'most_spent': 4500.0, 'biggest_cut': 3530.0, 'avg_deduct': 'TBA'}
Zeltkalis {'ratio': 0, 'most_spent': 0, 'biggest_cut': 3401.0, 'avg_deduct': 'TBA'}
Agyaire {'ratio': 0, 'most_spent': 0, 'biggest_cut': 5162.0, 'avg_deduct': 'TBA'}
Milarii {'ratio': 0.69, 'most_spent': 8000.0, 'biggest_cut': 5046.0, 'avg_deduct': 'TBA'}
Darkraddan {'ratio': 0.61, 'most_spent': 10000.0, 'biggest_cut': 4642.0, 'avg_deduct': 'TBA'}
Requíem {'ratio': 7.28, 'most_spent': 39000.0, 'biggest_cut': 3568.0, 'avg_deduct': 'TBA'}
Sunderslave {'ratio': 0, 'most_spent': 0, 'biggest_cut': 5877.0, 'avg_deduct': 'TBA'}
Obivankanobi {'ratio': 0, 'most_spent': 0, 'biggest_cut': 3809.0, 'avg_deduct': 'TBA'}
Avp {'ratio': 0, 'most_spent': 0, 'biggest_cut': 3778.0, 'avg_deduct': 'TBA'}
Wrathzor {'ratio': 0, 'most_spent': 0, 'biggest_cut': 4449.0, 'avg_deduct': 'TBA'}
Shatex {'ratio': 0, 'most_spent': 0, 'biggest_cut': 3759.0, 'avg_deduct': 'TBA'}
Sodnotwithme {'ratio': 0, 'most_spent': 0, 'biggest_cut': 4802.0, 'avg_deduct': 'TBA'}
Gannarc {'ratio': 0, 'most_spent': 0, 'biggest_cut': 4219.0, 'avg_deduct': 'TBA'}
Stellario {'ratio': 0, 'most_spent': 0, 'biggest_cut': 4762.0, 'avg_deduct': 'TBA'}
Integra {'ratio': 0, 'most_spent': 0, 'biggest_cut': 3195.0, 'avg_deduct': 'TBA'}
Martini {'ratio': 0.17, 'most_spent': 500.0, 'biggest_cut': 2937.0, 'avg_deduct': 'TBA'}
Shadowgnome {'ratio': 0.83, 'most_spent': 8000.0, 'biggest_cut': 5444.0, 'avg_deduct': 'TBA'}
Xinda {'ratio': 1.97, 'most_spent': 7000.0, 'biggest_cut': 3215.0, 'avg_deduct': 'TBA'}
Glancéalot {'ratio': 0.42, 'most_spent': 4500.0, 'biggest_cut': 3598.0, 'avg_deduct': 'TBA'}
Angrylinii {'ratio': 1.03, 'most_spent': 5000.0, 'biggest_cut': 5131.0, 'avg_deduct': 'TBA'}
Magierli {'ratio': 3.62, 'most_spent': 14000.0, 'biggest_cut': 3074.0, 'avg_deduct': 'TBA'}
Hideandrun {'ratio': 0, 'most_spent': 0, 'biggest_cut': 3254.0, 'avg_deduct': 'TBA'}
Mursu {'ratio': 0, 'most_spent': 0, 'biggest_cut': 2804.0, 'avg_deduct': 'TBA'}
Blazzex {'ratio': 10.2, 'most_spent': 24000.0, 'biggest_cut': 2354.0, 'avg_deduct': 'TBA'}
Buka {'ratio': 3.92, 'most_spent': 16500.0, 'biggest_cut': 3055.0, 'avg_deduct': 'TBA'}
Turin {'ratio': 0, 'most_spent': 0, 'biggest_cut': 3098.0, 'avg_deduct': 'TBA'}
Doomflare {'ratio': 0, 'most_spent': 0, 'biggest_cut': 3014.0, 'avg_deduct': 'TBA'}
Optimmus {'ratio': 31.67, 'most_spent': 38000.0, 'biggest_cut': 1200.0, 'avg_deduct': 'TBA'}
Larre {'ratio': 0.74, 'most_spent': 9000.0, 'biggest_cut': 4243.0, 'avg_deduct': 'TBA'}
Switchblade {'ratio': 0, 'most_spent': 0, 'biggest_cut': 8543.0, 'avg_deduct': 'TBA'}
Mechatoxic {'ratio': 0, 'most_spent': 0, 'biggest_cut': 4406.0, 'avg_deduct': 'TBA'}
Cq {'ratio': 1.21, 'most_spent': 10000.0, 'biggest_cut': 3642.0, 'avg_deduct': 'TBA'}
Dudwhitemane {'ratio': 0, 'most_spent': 0, 'biggest_cut': 3245.0, 'avg_deduct': 'TBA'}
Mikaelson {'ratio': 0, 'most_spent': 0, 'biggest_cut': 2546.0, 'avg_deduct': 'TBA'}
Eldragon {'ratio': 0, 'most_spent': 0, 'biggest_cut': 3308.0, 'avg_deduct': 'TBA'}
Tóm {'ratio': 2.61, 'most_spent': 10000.0, 'biggest_cut': 2537.0, 'avg_deduct': 'TBA'}
Ariadne {'ratio': 9.51, 'most_spent': 50000.0, 'biggest_cut': 2681.0, 'avg_deduct': 'TBA'}
Wrathzore {'ratio': 0.73, 'most_spent': 10000.0, 'biggest_cut': 5020.0, 'avg_deduct': 'TBA'}
Pender {'ratio': 10.73, 'most_spent': 89000.0, 'biggest_cut': 6187.0, 'avg_deduct': 'TBA'}
Executy {'ratio': 0.32, 'most_spent': 6000.0, 'biggest_cut': 4297.0, 'avg_deduct': 'TBA'}
Asmonbaldz {'ratio': 0, 'most_spent': 0, 'biggest_cut': 4174.0, 'avg_deduct': 'TBA'}
Zugzuggood {'ratio': 3.44, 'most_spent': 57000.0, 'biggest_cut': 4947.0, 'avg_deduct': 'TBA'}
Playadingles {'ratio': 0, 'most_spent': 0, 'biggest_cut': 1990.0, 'avg_deduct': 'TBA'}
Zasha {'ratio': 0.53, 'most_spent': 9500.0, 'biggest_cut': 6880.0, 'avg_deduct': 'TBA'}
Furb {'ratio': 0.88, 'most_spent': 5250.0, 'biggest_cut': 3859.0, 'avg_deduct': 'TBA'}
Flic {'ratio': 0, 'most_spent': 0, 'biggest_cut': 1628.0, 'avg_deduct': 'TBA'}
Filliam {'ratio': 0, 'most_spent': 0, 'biggest_cut': 2400.0, 'avg_deduct': 'TBA'}
Grollbär {'ratio': 1.09, 'most_spent': 14000.0, 'biggest_cut': 3755.0, 'avg_deduct': 'TBA'}
Maxiliane {'ratio': 0, 'most_spent': 0, 'biggest_cut': 3395.0, 'avg_deduct': 'TBA'}
Moneyprinter {'ratio': 7.95, 'most_spent': 25800.0, 'biggest_cut': 2593.0, 'avg_deduct': 'TBA'}
Blackawar {'ratio': 16.88, 'most_spent': 27000.0, 'biggest_cut': 1999.0, 'avg_deduct': 'TBA'}
Catschein {'ratio': 3.19, 'most_spent': 9700.0, 'biggest_cut': 2641.0, 'avg_deduct': 'TBA'}
Raykio {'ratio': 0, 'most_spent': 0, 'biggest_cut': 9361.0, 'avg_deduct': 'TBA'}
Lycan {'ratio': 0, 'most_spent': 0, 'biggest_cut': 3105.0, 'avg_deduct': 'TBA'}
Koshmarik {'ratio': 0, 'most_spent': 0, 'biggest_cut': 2172.0, 'avg_deduct': 'TBA'}
Sylvi {'ratio': 0, 'most_spent': 0, 'biggest_cut': 4702.0, 'avg_deduct': 'TBA'}
Invalidxd {'ratio': 0, 'most_spent': 0, 'biggest_cut': 1773.0, 'avg_deduct': 'TBA'}
Arinmir {'ratio': 0.77, 'most_spent': 5000.0, 'biggest_cut': 3566.0, 'avg_deduct': 'TBA'}
Salvinhobbes {'ratio': 0.3, 'most_spent': 3200.0, 'biggest_cut': 4849.0, 'avg_deduct': 'TBA'}
Tusqaiqt {'ratio': 7.74, 'most_spent': 17397.0, 'biggest_cut': 2326.0, 'avg_deduct': 'TBA'}
Colmano {'ratio': 0, 'most_spent': 0, 'biggest_cut': 3238.0, 'avg_deduct': 'TBA'}
Furyn {'ratio': 0, 'most_spent': 0, 'biggest_cut': 1907.0, 'avg_deduct': 'TBA'}
Deppyqt {'ratio': 0, 'most_spent': 0, 'biggest_cut': 2277.0, 'avg_deduct': 'TBA'}
Maelany {'ratio': 0, 'most_spent': 0, 'biggest_cut': 1704.0, 'avg_deduct': 'TBA'}
Derpadon {'ratio': 0, 'most_spent': 0, 'biggest_cut': 1686.0, 'avg_deduct': 'TBA'}
Zattwo {'ratio': 0, 'most_spent': 0, 'biggest_cut': 2193.0, 'avg_deduct': 'TBA'}
Grünerløkka {'ratio': 0, 'most_spent': 0, 'biggest_cut': 1362.0, 'avg_deduct': 'TBA'}
Ashanix {'ratio': 0, 'most_spent': 0, 'biggest_cut': 1285.0, 'avg_deduct': 'TBA'}
Lesnar {'ratio': 0.04, 'most_spent': 500.0, 'biggest_cut': 5197.0, 'avg_deduct': 'TBA'}
Thechampion {'ratio': 1.09, 'most_spent': 2500.0, 'biggest_cut': 1241.0, 'avg_deduct': 'TBA'}
Vierna {'ratio': 12.58, 'most_spent': 14500.0, 'biggest_cut': 1153.0, 'avg_deduct': 'TBA'}
Zeltene {'ratio': 0, 'most_spent': 0, 'biggest_cut': 1277.0, 'avg_deduct': 'TBA'}
Whooppz {'ratio': 0.63, 'most_spent': 1000.0, 'biggest_cut': 2027.0, 'avg_deduct': 'TBA'}
Isolde {'ratio': 0, 'most_spent': 0, 'biggest_cut': 1082.0, 'avg_deduct': 'TBA'}
Tess {'ratio': 0, 'most_spent': 0, 'biggest_cut': 862.0, 'avg_deduct': 'TBA'}
Swallalala {'ratio': 0.79, 'most_spent': 6500.0, 'biggest_cut': 4551.0, 'avg_deduct': 'TBA'}
Toxicivy {'ratio': 0.09, 'most_spent': 1000.0, 'biggest_cut': 4982.0, 'avg_deduct': 'TBA'}
Churchpewpew {'ratio': 0.81, 'most_spent': 13000.0, 'biggest_cut': 4672.0, 'avg_deduct': 'TBA'}
Krew {'ratio': 0, 'most_spent': 0, 'biggest_cut': 3245.0, 'avg_deduct': 'TBA'}
Vitaminc {'ratio': 0.61, 'most_spent': 3500.0, 'biggest_cut': 4056.0, 'avg_deduct': 'TBA'}
Gdkpriést {'ratio': 0.81, 'most_spent': 1500.0, 'biggest_cut': 1342.0, 'avg_deduct': 'TBA'}
Aliaskings {'ratio': 15.1, 'most_spent': 30000.0, 'biggest_cut': 1488.0, 'avg_deduct': 'TBA'}
Pillaa {'ratio': 0, 'most_spent': 0, 'biggest_cut': 1552.0, 'avg_deduct': 'TBA'}
Kankanmidget {'ratio': 0, 'most_spent': 0, 'biggest_cut': 4008.0, 'avg_deduct': 'TBA'}
Bentwo {'ratio': 2.55, 'most_spent': 35000.0, 'biggest_cut': 5713.0, 'avg_deduct': 'TBA'}
Pendinho {'ratio': 4.67, 'most_spent': 97000.0, 'biggest_cut': 7663.0, 'avg_deduct': 'TBA'}
Doba {'ratio': 0, 'most_spent': 0, 'biggest_cut': 4898.0, 'avg_deduct': 'TBA'}
Pvegodfather {'ratio': 2.25, 'most_spent': 42000.0, 'biggest_cut': 7423.0, 'avg_deduct': 'TBA'}
Gigafrst {'ratio': 1.94, 'most_spent': 25000.0, 'biggest_cut': 4961.0, 'avg_deduct': 'TBA'}
Milari {'ratio': 0, 'most_spent': 0, 'biggest_cut': 4333.0, 'avg_deduct': 'TBA'}
Jekkupatteri {'ratio': 0, 'most_spent': 0, 'biggest_cut': 3986.0, 'avg_deduct': 'TBA'}
Aliasingite {'ratio': 0.11, 'most_spent': 1000.0, 'biggest_cut': 3473.0, 'avg_deduct': 'TBA'}
Holdmyignite {'ratio': 0, 'most_spent': 0, 'biggest_cut': 3368.0, 'avg_deduct': 'TBA'}
Nobuffsimsad {'ratio': 4.79, 'most_spent': 20000.0, 'biggest_cut': 3981.0, 'avg_deduct': 'TBA'}
Kns {'ratio': 5.19, 'most_spent': 12000.0, 'biggest_cut': 2311.0, 'avg_deduct': 'TBA'}
Kløbürste {'ratio': 7.69, 'most_spent': 19900.0, 'biggest_cut': 2030.0, 'avg_deduct': 'TBA'}
Ignitepewpew {'ratio': 2.48, 'most_spent': 21000.0, 'biggest_cut': 3026.0, 'avg_deduct': 'TBA'}
Wonderwomanz {'ratio': 0.92, 'most_spent': 2000.0, 'biggest_cut': 1592.0, 'avg_deduct': 'TBA'}
Dxntdrown {'ratio': 6.74, 'most_spent': 25500.0, 'biggest_cut': 1752.0, 'avg_deduct': 'TBA'}
Awman {'ratio': 9.49, 'most_spent': 15000.0, 'biggest_cut': 1581.0, 'avg_deduct': 'TBA'}
Catschin {'ratio': 0.21, 'most_spent': 4500.0, 'biggest_cut': 4861.0, 'avg_deduct': 'TBA'}
Ae {'ratio': 4.64, 'most_spent': 9000.0, 'biggest_cut': 1678.0, 'avg_deduct': 'TBA'}
Misswar {'ratio': 0, 'most_spent': 0, 'biggest_cut': 6162.0, 'avg_deduct': 'TBA'}
Kourona {'ratio': 0.68, 'most_spent': 7000.0, 'biggest_cut': 6162.0, 'avg_deduct': 'TBA'}
Darikus {'ratio': 0.08, 'most_spent': 1000.0, 'biggest_cut': 4721.0, 'avg_deduct': 'TBA'}
Whitemate {'ratio': 0, 'most_spent': 0, 'biggest_cut': 3161.0, 'avg_deduct': 'TBA'}
Larrymuscles {'ratio': 0, 'most_spent': 0, 'biggest_cut': 4749.0, 'avg_deduct': 'TBA'}
Ashania {'ratio': 0, 'most_spent': 0, 'biggest_cut': 2410.0, 'avg_deduct': 'TBA'}
Oneshotpala {'ratio': 4.62, 'most_spent': 7000.0, 'biggest_cut': 1277.0, 'avg_deduct': 'TBA'}
Benone {'ratio': 2.32, 'most_spent': 26000.0, 'biggest_cut': 6793.0, 'avg_deduct': 'TBA'}
Pvejunkie {'ratio': 3.85, 'most_spent': 41000.0, 'biggest_cut': 6148.0, 'avg_deduct': 'TBA'}
Mechapomp {'ratio': 4.05, 'most_spent': 27000.0, 'biggest_cut': 5580.0, 'avg_deduct': 'TBA'}
Olppa {'ratio': 0, 'most_spent': 0, 'biggest_cut': 5547.0, 'avg_deduct': 'TBA'}
Kreizo {'ratio': 0, 'most_spent': 0, 'biggest_cut': 5552.0, 'avg_deduct': 'TBA'}
Brune {'ratio': 0, 'most_spent': 0, 'biggest_cut': 4821.0, 'avg_deduct': 'TBA'}
Calgacus {'ratio': 0, 'most_spent': 0, 'biggest_cut': 5097.0, 'avg_deduct': 'TBA'}
Pillaalund {'ratio': 1.12, 'most_spent': 12000.0, 'biggest_cut': 4477.0, 'avg_deduct': 'TBA'}
Malegender {'ratio': 0.19, 'most_spent': 2000.0, 'biggest_cut': 3846.0, 'avg_deduct': 'TBA'}
Depresifwar {'ratio': 0, 'most_spent': 0, 'biggest_cut': 7053.0, 'avg_deduct': 'TBA'}
Ui {'ratio': 0.52, 'most_spent': 2000.0, 'biggest_cut': 3874.0, 'avg_deduct': 'TBA'}
Margel {'ratio': 0, 'most_spent': 0, 'biggest_cut': 2087.0, 'avg_deduct': 'TBA'}
Kilpikirsi {'ratio': 0, 'most_spent': 0, 'biggest_cut': 7053.0, 'avg_deduct': 'TBA'}
Kazig {'ratio': 1.34, 'most_spent': 10800.0, 'biggest_cut': 4510.0, 'avg_deduct': 'TBA'}
Redkiller {'ratio': 5.64, 'most_spent': 15000.0, 'biggest_cut': 3199.0, 'avg_deduct': 'TBA'}
Nurglé {'ratio': 3.57, 'most_spent': 7000.0, 'biggest_cut': 1959.0, 'avg_deduct': 'TBA'}
Ursamajor {'ratio': 0, 'most_spent': 0, 'biggest_cut': 7053.0, 'avg_deduct': 'TBA'}
Mobz {'ratio': 6.94, 'most_spent': 13500.0, 'biggest_cut': 1946.0, 'avg_deduct': 'TBA'}
Raykiodead {'ratio': 0, 'most_spent': 0, 'biggest_cut': 4598.0, 'avg_deduct': 'TBA'}
Nickxio {'ratio': 0.05, 'most_spent': 800.0, 'biggest_cut': 5607.0, 'avg_deduct': 'TBA'}
Mallena {'ratio': 0.86, 'most_spent': 12000.0, 'biggest_cut': 5153.0, 'avg_deduct': 'TBA'}
Healjezelf {'ratio': 0.03, 'most_spent': 500.0, 'biggest_cut': 4819.0, 'avg_deduct': 'TBA'}
Suttura {'ratio': 0, 'most_spent': 0, 'biggest_cut': 4452.0, 'avg_deduct': 'TBA'}
Diddydodat {'ratio': 0, 'most_spent': 0, 'biggest_cut': 4814.0, 'avg_deduct': 'TBA'}
Briannielsen {'ratio': 4.1, 'most_spent': 21500.0, 'biggest_cut': 3173.0, 'avg_deduct': 'TBA'}
Pvewhale {'ratio': 3.56, 'most_spent': 71000.0, 'biggest_cut': 5321.0, 'avg_deduct': 'TBA'}
Skandy {'ratio': 0, 'most_spent': 0, 'biggest_cut': 2569.0, 'avg_deduct': 'TBA'}
Korsag {'ratio': 0.06, 'most_spent': 1500.0, 'biggest_cut': 6282.0, 'avg_deduct': 'TBA'}
Bobsn {'ratio': 0, 'most_spent': 0, 'biggest_cut': 1704.0, 'avg_deduct': 'TBA'}
Onepointeigh {'ratio': 3.72, 'most_spent': 16000.0, 'biggest_cut': 4134.0, 'avg_deduct': 'TBA'}
Devinn {'ratio': 0.15, 'most_spent': 3800.0, 'biggest_cut': 6289.0, 'avg_deduct': 'TBA'}
Playadonna {'ratio': 10.63, 'most_spent': 35000.0, 'biggest_cut': 1849.0, 'avg_deduct': 'TBA'}
Piepschuim {'ratio': 10.96, 'most_spent': 38000.0, 'biggest_cut': 1878.0, 'avg_deduct': 'TBA'}
Tichondria {'ratio': 0, 'most_spent': 0, 'biggest_cut': 1601.0, 'avg_deduct': 'TBA'}
Freyna {'ratio': 3.66, 'most_spent': 16000.0, 'biggest_cut': 3172.0, 'avg_deduct': 'TBA'}
Kenthar {'ratio': 0, 'most_spent': 0, 'biggest_cut': 1358.0, 'avg_deduct': 'TBA'}
Reinous {'ratio': 2.92, 'most_spent': 4600.0, 'biggest_cut': 1576.0, 'avg_deduct': 'TBA'}
Morrgrimshow {'ratio': 2.43, 'most_spent': 25000.0, 'biggest_cut': 4261.0, 'avg_deduct': 'TBA'}
Doublep {'ratio': 24.61, 'most_spent': 52920.0, 'biggest_cut': 1093.0, 'avg_deduct': 'TBA'}
Alabasta {'ratio': 4.31, 'most_spent': 4200.0, 'biggest_cut': 975.0, 'avg_deduct': 'TBA'}
Pikachù {'ratio': 0, 'most_spent': 0, 'biggest_cut': 849.0, 'avg_deduct': 'TBA'}
Imugem {'ratio': 0, 'most_spent': 0, 'biggest_cut': 1787.0, 'avg_deduct': 'TBA'}
Cunnimaster {'ratio': 0, 'most_spent': 0, 'biggest_cut': 2417.0, 'avg_deduct': 'TBA'}
Geilerdiddy {'ratio': 0.27, 'most_spent': 400.0, 'biggest_cut': 1458.0, 'avg_deduct': 'TBA'}
Ikhealjewel {'ratio': 0.55, 'most_spent': 900.0, 'biggest_cut': 1626.0, 'avg_deduct': 'TBA'}
Gandaros {'ratio': 0.09, 'most_spent': 300.0, 'biggest_cut': 2039.0, 'avg_deduct': 'TBA'}
Oubercliry {'ratio': 0.5, 'most_spent': 2400.0, 'biggest_cut': 1740.0, 'avg_deduct': 'TBA'}
Kikkoheal {'ratio': 0, 'most_spent': 0, 'biggest_cut': 1322.0, 'avg_deduct': 'TBA'}
Pvecrackhead {'ratio': 0.91, 'most_spent': 9500.0, 'biggest_cut': 4714.0, 'avg_deduct': 'TBA'}
Stellariô {'ratio': 0, 'most_spent': 0, 'biggest_cut': 6651.0, 'avg_deduct': 'TBA'}
Justahumwar {'ratio': 0, 'most_spent': 0, 'biggest_cut': 4392.0, 'avg_deduct': 'TBA'}
Dreamrage {'ratio': 0, 'most_spent': 0, 'biggest_cut': 3463.0, 'avg_deduct': 'TBA'}
Littlemunda {'ratio': 0, 'most_spent': 0, 'biggest_cut': 3133.0, 'avg_deduct': 'TBA'}
Exeter {'ratio': 0, 'most_spent': 0, 'biggest_cut': 3360.0, 'avg_deduct': 'TBA'}
Hyperboreän {'ratio': 1.32, 'most_spent': 17000.0, 'biggest_cut': 4931.0, 'avg_deduct': 'TBA'}
Bratan {'ratio': 4.62, 'most_spent': 50000.0, 'biggest_cut': 3952.0, 'avg_deduct': 'TBA'}
Remozp {'ratio': 0, 'most_spent': 0, 'biggest_cut': 3274.0, 'avg_deduct': 'TBA'}
Mechabeam {'ratio': 0, 'most_spent': 0, 'biggest_cut': 3353.0, 'avg_deduct': 'TBA'}
Budvarsson {'ratio': 0, 'most_spent': 0, 'biggest_cut': 3889.0, 'avg_deduct': 'TBA'}
Grzpxopwnz {'ratio': 1.56, 'most_spent': 6000.0, 'biggest_cut': 2205.0, 'avg_deduct': 'TBA'}
Alanford {'ratio': 0, 'most_spent': 0, 'biggest_cut': 5229.0, 'avg_deduct': 'TBA'}
Roguemander {'ratio': 2.38, 'most_spent': 11900.0, 'biggest_cut': 3154.0, 'avg_deduct': 'TBA'}
Pharrell {'ratio': 3.0, 'most_spent': 14000.0, 'biggest_cut': 3675.0, 'avg_deduct': 'TBA'}
Bigglewiggle {'ratio': 0, 'most_spent': 0, 'biggest_cut': 2669.0, 'avg_deduct': 'TBA'}
Zivit {'ratio': 1.01, 'most_spent': 7200.0, 'biggest_cut': 4325.0, 'avg_deduct': 'TBA'}
Orangevening {'ratio': 0, 'most_spent': 0, 'biggest_cut': 4131.0, 'avg_deduct': 'TBA'}
Starfire {'ratio': 4.38, 'most_spent': 22000.0, 'biggest_cut': 2144.0, 'avg_deduct': 'TBA'}
Roxx {'ratio': 4.54, 'most_spent': 7500.0, 'biggest_cut': 1651.0, 'avg_deduct': 'TBA'}
Gorillah {'ratio': 54.24, 'most_spent': 52500.0, 'biggest_cut': 1166.0, 'avg_deduct': 'TBA'}
Strommis {'ratio': 0, 'most_spent': 0, 'biggest_cut': 4828.0, 'avg_deduct': 'TBA'}
Glancealott {'ratio': 0, 'most_spent': 0, 'biggest_cut': 3756.0, 'avg_deduct': 'TBA'}
Raenla {'ratio': 0, 'most_spent': 0, 'biggest_cut': 3360.0, 'avg_deduct': 'TBA'}
Teesnjak {'ratio': 0, 'most_spent': 0, 'biggest_cut': 3011.0, 'avg_deduct': 'TBA'}
Marenghi {'ratio': 1.63, 'most_spent': 6000.0, 'biggest_cut': 3516.0, 'avg_deduct': 'TBA'}
Antor {'ratio': 0, 'most_spent': 0, 'biggest_cut': 3292.0, 'avg_deduct': 'TBA'}
Highlordbane {'ratio': 0, 'most_spent': 0, 'biggest_cut': 3243.0, 'avg_deduct': 'TBA'}
Veas {'ratio': 2.2, 'most_spent': 7000.0, 'biggest_cut': 2307.0, 'avg_deduct': 'TBA'}
Bòóm {'ratio': 4.53, 'most_spent': 10000.0, 'biggest_cut': 2363.0, 'avg_deduct': 'TBA'}
Morrgrims {'ratio': 1.54, 'most_spent': 20000.0, 'biggest_cut': 4915.0, 'avg_deduct': 'TBA'}
Braadprick {'ratio': 0, 'most_spent': 0, 'biggest_cut': 5394.0, 'avg_deduct': 'TBA'}
Dishân {'ratio': 0, 'most_spent': 0, 'biggest_cut': 4449.0, 'avg_deduct': 'TBA'}
Milanbank {'ratio': 0, 'most_spent': 0, 'biggest_cut': 5043.0, 'avg_deduct': 'TBA'}
Larry {'ratio': 0, 'most_spent': 0, 'biggest_cut': 4203.0, 'avg_deduct': 'TBA'}
Littlewar {'ratio': 0, 'most_spent': 0, 'biggest_cut': 3876.0, 'avg_deduct': 'TBA'}
Eldermage {'ratio': 0, 'most_spent': 0, 'biggest_cut': 3537.0, 'avg_deduct': 'TBA'}
Shadowkid {'ratio': 0, 'most_spent': 0, 'biggest_cut': 4364.0, 'avg_deduct': 'TBA'}
Oilmeup {'ratio': 1.81, 'most_spent': 8000.0, 'biggest_cut': 2660.0, 'avg_deduct': 'TBA'}
Tallack {'ratio': 0, 'most_spent': 0, 'biggest_cut': 3011.0, 'avg_deduct': 'TBA'}
Kimmy {'ratio': 0.02, 'most_spent': 200.0, 'biggest_cut': 3945.0, 'avg_deduct': 'TBA'}
