Antimana {'ratio': 1.91, 'most_spent': 17500.0, 'biggest_cut': 3531.0, 'avg_deduct': 'TBA'}
Tinytom {'ratio': 1.87, 'most_spent': 4500.0, 'biggest_cut': 2406.0, 'avg_deduct': 'TBA'}
Olppalol {'ratio': 0, 'most_spent': 0, 'biggest_cut': 2504.0, 'avg_deduct': 'TBA'}
Charlize {'ratio': 0, 'most_spent': 0, 'biggest_cut': 2821.0, 'avg_deduct': 'TBA'}
Ringodk {'ratio': 0.55, 'most_spent': 4000.0, 'biggest_cut': 2691.0, 'avg_deduct': 'TBA'}
Villanelle {'ratio': 15.86, 'most_spent': 31500.0, 'biggest_cut': 1986.0, 'avg_deduct': 'TBA'}
Bruji {'ratio': 1.06, 'most_spent': 4500.0, 'biggest_cut': 2915.0, 'avg_deduct': 'TBA'}
Hunterinetje {'ratio': 0, 'most_spent': 0, 'biggest_cut': 1574.0, 'avg_deduct': 'TBA'}
Acesniper {'ratio': 0, 'most_spent': 0, 'biggest_cut': 3247.0, 'avg_deduct': 'TBA'}
Kloppspaten {'ratio': 0.35, 'most_spent': 9000.0, 'biggest_cut': 4887.0, 'avg_deduct': 'TBA'}
Undor {'ratio': 0, 'most_spent': 0, 'biggest_cut': 6150.0, 'avg_deduct': 'TBA'}
Fatulolo {'ratio': 0, 'most_spent': 0, 'biggest_cut': 4674.0, 'avg_deduct': 'TBA'}
Khalæssi {'ratio': 0.12, 'most_spent': 2000.0, 'biggest_cut': 6150.0, 'avg_deduct': 'TBA'}
Strommi {'ratio': 1.42, 'most_spent': 23000.0, 'biggest_cut': 5368.0, 'avg_deduct': 'TBA'}
Yegi {'ratio': 0, 'most_spent': 0, 'biggest_cut': 4012.0, 'avg_deduct': 'TBA'}
Ktlqt {'ratio': 0, 'most_spent': 0, 'biggest_cut': 3525.0, 'avg_deduct': 'TBA'}
Somedots {'ratio': 0.39, 'most_spent': 3200.0, 'biggest_cut': 3692.0, 'avg_deduct': 'TBA'}
Jammie {'ratio': 0.39, 'most_spent': 7000.0, 'biggest_cut': 4625.0, 'avg_deduct': 'TBA'}
Ftk {'ratio': 0, 'most_spent': 0, 'biggest_cut': 2500.0, 'avg_deduct': 'TBA'}
Zipperla {'ratio': 0, 'most_spent': 0, 'biggest_cut': 2920.0, 'avg_deduct': 'TBA'}
Flagella {'ratio': 0, 'most_spent': 0, 'biggest_cut': 3593.0, 'avg_deduct': 'TBA'}
Senra {'ratio': 1.94, 'most_spent': 17500.0, 'biggest_cut': 3119.0, 'avg_deduct': 'TBA'}
Shizumo {'ratio': 0, 'most_spent': 0, 'biggest_cut': 2543.0, 'avg_deduct': 'TBA'}
Mikasi {'ratio': 0.67, 'most_spent': 8000.0, 'biggest_cut': 5946.0, 'avg_deduct': 'TBA'}
Potts {'ratio': 0, 'most_spent': 0, 'biggest_cut': 2165.0, 'avg_deduct': 'TBA'}
Moemoekyun {'ratio': 0, 'most_spent': 0, 'biggest_cut': 5053.0, 'avg_deduct': 'TBA'}
Djsprautmave {'ratio': 0, 'most_spent': 0, 'biggest_cut': 5080.0, 'avg_deduct': 'TBA'}
Smno {'ratio': 0, 'most_spent': 0, 'biggest_cut': 6582.0, 'avg_deduct': 'TBA'}
Bloódthirst {'ratio': 0, 'most_spent': 0, 'biggest_cut': 4374.0, 'avg_deduct': 'TBA'}
Dishan {'ratio': 0, 'most_spent': 0, 'biggest_cut': 3614.0, 'avg_deduct': 'TBA'}
Gigafrstx {'ratio': 0, 'most_spent': 0, 'biggest_cut': 1541.0, 'avg_deduct': 'TBA'}
Duck {'ratio': 0.27, 'most_spent': 7500.0, 'biggest_cut': 6382.0, 'avg_deduct': 'TBA'}
Suzaka {'ratio': 1.25, 'most_spent': 14000.0, 'biggest_cut': 4089.0, 'avg_deduct': 'TBA'}
Johnnyrico {'ratio': 0.74, 'most_spent': 12000.0, 'biggest_cut': 5996.0, 'avg_deduct': 'TBA'}
Freezeme {'ratio': 0, 'most_spent': 0, 'biggest_cut': 1264.0, 'avg_deduct': 'TBA'}
Westen {'ratio': 3.25, 'most_spent': 56000.0, 'biggest_cut': 5914.0, 'avg_deduct': 'TBA'}
Freezingmoon {'ratio': 4.7, 'most_spent': 28600.0, 'biggest_cut': 4376.0, 'avg_deduct': 'TBA'}
Shibochamp {'ratio': 0, 'most_spent': 0, 'biggest_cut': 3603.0, 'avg_deduct': 'TBA'}
Cruelmage {'ratio': 0, 'most_spent': 0, 'biggest_cut': 2887.0, 'avg_deduct': 'TBA'}
Depresifmage {'ratio': 0, 'most_spent': 0, 'biggest_cut': 4908.0, 'avg_deduct': 'TBA'}
Laèthriel {'ratio': 0, 'most_spent': 0, 'biggest_cut': 1096.0, 'avg_deduct': 'TBA'}
Cj {'ratio': 0, 'most_spent': 0, 'biggest_cut': 3280.0, 'avg_deduct': 'TBA'}
Lateralus {'ratio': 2.62, 'most_spent': 10500.0, 'biggest_cut': 3560.0, 'avg_deduct': 'TBA'}
Snajperista {'ratio': 0, 'most_spent': 0, 'biggest_cut': 1829.0, 'avg_deduct': 'TBA'}
Cw {'ratio': 0.06, 'most_spent': 800.0, 'biggest_cut': 7061.0, 'avg_deduct': 'TBA'}
Zivor {'ratio': 0.25, 'most_spent': 2500.0, 'biggest_cut': 7708.0, 'avg_deduct': 'TBA'}
Bolognese {'ratio': 1.58, 'most_spent': 23000.0, 'biggest_cut': 6573.0, 'avg_deduct': 'TBA'}
Petarus {'ratio': 0, 'most_spent': 0, 'biggest_cut': 6011.0, 'avg_deduct': 'TBA'}
Stromi {'ratio': 0.38, 'most_spent': 4500.0, 'biggest_cut': 2673.0, 'avg_deduct': 'TBA'}
Wtsfearward {'ratio': 0, 'most_spent': 0, 'biggest_cut': 5300.0, 'avg_deduct': 'TBA'}
Deylah {'ratio': 0, 'most_spent': 0, 'biggest_cut': 7392.0, 'avg_deduct': 'TBA'}
Eprishia {'ratio': 0, 'most_spent': 0, 'biggest_cut': 3819.0, 'avg_deduct': 'TBA'}
Vallon {'ratio': 0, 'most_spent': 0, 'biggest_cut': 1617.0, 'avg_deduct': 'TBA'}
Mechapray {'ratio': 0, 'most_spent': 0, 'biggest_cut': 2860.0, 'avg_deduct': 'TBA'}
Dotspala {'ratio': 0.1, 'most_spent': 1099.0, 'biggest_cut': 5388.0, 'avg_deduct': 'TBA'}
Elunari {'ratio': 2.42, 'most_spent': 20000.0, 'biggest_cut': 3878.0, 'avg_deduct': 'TBA'}
Lightstor {'ratio': 0, 'most_spent': 0, 'biggest_cut': 933.0, 'avg_deduct': 'TBA'}
Xhealer {'ratio': 0.02, 'most_spent': 200.0, 'biggest_cut': 3214.0, 'avg_deduct': 'TBA'}
Kvekk {'ratio': 2.02, 'most_spent': 4000.0, 'biggest_cut': 1899.0, 'avg_deduct': 'TBA'}
Eltochas {'ratio': 5.97, 'most_spent': 3500.0, 'biggest_cut': 586.0, 'avg_deduct': 'TBA'}
Duckii {'ratio': 1.36, 'most_spent': 14000.0, 'biggest_cut': 5834.0, 'avg_deduct': 'TBA'}
Buddhi {'ratio': 0, 'most_spent': 0, 'biggest_cut': 5345.0, 'avg_deduct': 'TBA'}
Morrgrim {'ratio': 0, 'most_spent': 0, 'biggest_cut': 4980.0, 'avg_deduct': 'TBA'}
Nickxiee {'ratio': 0.81, 'most_spent': 10000.0, 'biggest_cut': 5124.0, 'avg_deduct': 'TBA'}
Pvegirl {'ratio': 4.17, 'most_spent': 72000.0, 'biggest_cut': 5513.0, 'avg_deduct': 'TBA'}
Mosnotwcb {'ratio': 0, 'most_spent': 0, 'biggest_cut': 5333.0, 'avg_deduct': 'TBA'}
Tebatmar {'ratio': 0.1, 'most_spent': 1000.0, 'biggest_cut': 5084.0, 'avg_deduct': 'TBA'}
Yellowcake {'ratio': 0, 'most_spent': 0, 'biggest_cut': 6378.0, 'avg_deduct': 'TBA'}
Gigafrstqt {'ratio': 0, 'most_spent': 0, 'biggest_cut': 4808.0, 'avg_deduct': 'TBA'}
Benzina {'ratio': 0, 'most_spent': 0, 'biggest_cut': 5681.0, 'avg_deduct': 'TBA'}
Simonas {'ratio': 0, 'most_spent': 0, 'biggest_cut': 4681.0, 'avg_deduct': 'TBA'}
Sporr {'ratio': 0, 'most_spent': 0, 'biggest_cut': 5580.0, 'avg_deduct': 'TBA'}
Ktlpump {'ratio': 0, 'most_spent': 0, 'biggest_cut': 4484.0, 'avg_deduct': 'TBA'}
Mandor {'ratio': 0, 'most_spent': 0, 'biggest_cut': 4614.0, 'avg_deduct': 'TBA'}
